sentenceid,scale,codeCrowd,NcodedCrowd,NCrowd,SECrowd,goldCrowd,codeExperts,NcodedExperts,NExperts,SEExperts,codeSemiExperts,NcodedSemiExperts,NSemiExperts,SESemiExperts,manifestoid,party,year
10000131,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000131,Economic,1,14,897,.022398766,nongold,1,6,779,.029833695,,,,,Con 1987,Conservatives,1987
10000131,Social,1.5,4,783,.029228823,nongold,1,1,215,.057679296,,,,,Con 1987,Conservatives,1987
10000141,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000141,Economic,1,7,897,.022398766,nongold,.75,4,779,.029833695,,,,,Con 1987,Conservatives,1987
10000141,Social,1.3333334,3,783,.029228823,nongold,.5,2,215,.057679296,,,,,Con 1987,Conservatives,1987
10000151,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000151,Economic,.94117647,34,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000151,Social,1.625,16,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000161,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000161,Economic,.83333331,6,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000161,Social,.33333334,15,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000171,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000171,Economic,.5,6,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000171,Social,.45161289,31,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000181,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000181,Economic,0,10,897,.022398766,nongold,0,2,779,.029833695,,,,,Con 1987,Conservatives,1987
10000181,Social,0,1,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000191,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000191,Economic,,,,,,.5,2,779,.029833695,,,,,Con 1987,Conservatives,1987
10000191,Social,0,2,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000201,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000201,Economic,.17647059,17,897,.022398766,nongold,1.125,8,779,.029833695,,,,,Con 1987,Conservatives,1987
10000211,None,,0,0,,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000211,Economic,.42424244,99,897,.022398766,nongold,1.5714285,7,779,.029833695,,,,,Con 1987,Conservatives,1987
10000211,Social,-.22222222,9,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000221,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000221,Economic,1,10,897,.022398766,nongold,1,5,779,.029833695,,,,,Con 1987,Conservatives,1987
10000231,None,,0,0,,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000231,Economic,1.0260869,115,897,.022398766,nongold,1.4285715,7,779,.029833695,,,,,Con 1987,Conservatives,1987
10000231,Social,.54545456,11,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000241,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000241,Economic,.15789473,19,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000241,Social,.33333334,9,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000251,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000251,Economic,.59090906,22,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000251,Social,.44444445,18,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000261,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000261,Economic,-.5,2,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000261,Social,.5,10,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000271,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000271,Social,.5,2,783,.029228823,nongold,1,1,215,.057679296,,,,,Con 1987,Conservatives,1987
10000281,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000281,Economic,.66666669,6,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000281,Social,-.05882353,17,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000291,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000291,Economic,.33333334,3,897,.022398766,nongold,0,1,779,.029833695,,,,,Con 1987,Conservatives,1987
10000291,Social,0,2,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000301,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000301,Economic,.16666667,6,897,.022398766,nongold,0,1,779,.029833695,,,,,Con 1987,Conservatives,1987
10000311,None,,0,0,,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000311,Economic,.35294119,17,897,.022398766,nongold,.42857143,7,779,.029833695,,,,,Con 1987,Conservatives,1987
10000321,None,,0,0,,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000321,Economic,.25,12,897,.022398766,nongold,.5,6,779,.029833695,,,,,Con 1987,Conservatives,1987
10000331,None,,0,0,,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000331,Economic,.64705884,17,897,.022398766,nongold,1,7,779,.029833695,,,,,Con 1987,Conservatives,1987
10000341,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000341,Economic,.5625,16,897,.022398766,nongold,.5714286,7,779,.029833695,,,,,Con 1987,Conservatives,1987
10000341,Social,-1,1,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000351,None,,0,0,,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000351,Economic,.40000001,15,897,.022398766,nongold,.5714286,7,779,.029833695,,,,,Con 1987,Conservatives,1987
10000361,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000361,Economic,.2,10,897,.022398766,nongold,.16666667,6,779,.029833695,,,,,Con 1987,Conservatives,1987
10000361,Social,.33333334,3,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000371,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000371,Economic,.5,6,897,.022398766,nongold,0,2,779,.029833695,,,,,Con 1987,Conservatives,1987
10000381,None,,0,0,,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000381,Economic,.81818181,11,897,.022398766,nongold,.66666669,9,779,.029833695,,,,,Con 1987,Conservatives,1987
10000381,Social,-1,1,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000391,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000391,Economic,.3888889,18,897,.022398766,nongold,.2857143,7,779,.029833695,,,,,Con 1987,Conservatives,1987
10000401,None,,0,0,,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000401,Economic,.11764706,17,897,.022398766,nongold,.14285715,7,779,.029833695,,,,,Con 1987,Conservatives,1987
10000411,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000411,Economic,.52941179,17,897,.022398766,nongold,.2857143,7,779,.029833695,,,,,Con 1987,Conservatives,1987
10000421,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000421,Economic,.25,8,897,.022398766,nongold,0,2,779,.029833695,,,,,Con 1987,Conservatives,1987
10000431,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000431,Economic,.69999999,10,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000431,Social,.33333334,6,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000441,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000441,Economic,.2,5,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000441,Social,.071428575,28,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000451,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000451,Economic,1.6,5,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000451,Social,.6875,16,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000461,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000461,Social,.75,4,783,.029228823,nongold,1,2,215,.057679296,,,,,Con 1987,Conservatives,1987
10000471,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000471,Economic,0,2,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000471,Social,1.1666666,18,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000481,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000481,Social,0,3,783,.029228823,nongold,1,1,215,.057679296,,,,,Con 1987,Conservatives,1987
10000491,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000491,Economic,.33333334,3,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000491,Social,.83333331,6,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000501,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000501,Economic,1,4,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000501,Social,.33333334,3,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000511,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000511,Economic,.11111111,9,897,.022398766,nongold,.60000002,5,779,.029833695,,,,,Con 1987,Conservatives,1987
10000511,Social,,,,,,1,1,215,.057679296,,,,,Con 1987,Conservatives,1987
