sentenceid,scale,codeCrowd,NcodedCrowd,NCrowd,SECrowd,goldCrowd,codeExperts,NcodedExperts,NExperts,SEExperts,codeSemiExperts,NcodedSemiExperts,NSemiExperts,SESemiExperts,manifestoid,party,year
40009151,Social,-1,1,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009161,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009161,Economic,-1,1,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009161,Social,-1,4,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009171,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009171,Economic,.5,2,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009171,Social,-.85714287,7,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009181,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009181,Social,-1,3,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009191,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009191,Economic,0,1,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009191,Social,-.25,4,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009201,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009201,Social,-1,2,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009211,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009211,Social,-1,5,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009221,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009221,Social,0,3,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009231,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009231,Economic,-1,3,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009231,Social,-.25,4,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009241,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009241,Economic,.5,2,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009241,Social,-.5,4,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009251,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009251,Social,-1.5,2,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009261,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009261,Economic,-.60000002,5,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009261,Social,-1,1,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009271,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009271,Economic,-2,4,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009271,Social,-1.3333334,3,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009281,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009281,Economic,-2,2,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009281,Social,-1,5,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009291,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009291,Social,-1,1,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009301,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009301,Economic,-.66666669,6,970,.022425406,nongold,-1,3,713,.030024268,,,,,Con 1997,Conservatives,1997
40009301,Social,-1,4,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009311,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009311,Economic,-.5,4,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009311,Social,-.5,2,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009321,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009321,Economic,-1.4285715,7,970,.022425406,nongold,-1,2,713,.030024268,,,,,Con 1997,Conservatives,1997
40009321,Social,-1,2,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009331,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009331,Economic,-.78571427,14,970,.022425406,nongold,.5,2,713,.030024268,,,,,Con 1997,Conservatives,1997
40009331,Social,-1,1,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009341,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009341,Economic,-.14285715,7,970,.022425406,nongold,0,2,713,.030024268,,,,,Con 1997,Conservatives,1997
40009341,Social,-.5,6,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009351,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009351,Economic,-1,1,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009351,Social,-1.0666667,15,934,.027550578,nongold,-.75,4,326,.051363863,,,,,Con 1997,Conservatives,1997
40009361,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009361,Social,-1,9,934,.027550578,nongold,-.80000001,5,326,.051363863,,,,,Con 1997,Conservatives,1997
40009371,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009371,Social,-.78947371,19,934,.027550578,nongold,-1.3333334,6,326,.051363863,,,,,Con 1997,Conservatives,1997
40009381,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009381,Social,-.052631579,19,934,.027550578,nongold,-.5714286,7,326,.051363863,,,,,Con 1997,Conservatives,1997
40009391,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009391,Social,-.27777779,18,934,.027550578,nongold,0,6,326,.051363863,,,,,Con 1997,Conservatives,1997
40009401,None,,,,,,,0,0,,,,,,Con 1997,Conservatives,1997
40009401,Social,.34999999,20,934,.027550578,nongold,-.14285715,7,326,.051363863,,,,,Con 1997,Conservatives,1997
40009411,None,,,,,,,0,0,,,,,,Con 1997,Conservatives,1997
40009411,Social,.64999998,20,934,.027550578,nongold,.80000001,5,326,.051363863,,,,,Con 1997,Conservatives,1997
40009421,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009421,Social,.2,15,934,.027550578,nongold,.5,6,326,.051363863,,,,,Con 1997,Conservatives,1997
40009431,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009431,Social,-.14285715,7,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009441,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009441,Social,-1,1,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009451,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009451,Economic,2,1,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009461,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009471,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009471,Economic,-.64285713,14,970,.022425406,nongold,0,1,713,.030024268,,,,,Con 1997,Conservatives,1997
40009481,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009481,Economic,.1,10,970,.022425406,nongold,0,1,713,.030024268,,,,,Con 1997,Conservatives,1997
40009481,Social,-.33333334,3,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009491,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009491,Economic,-.89999998,10,970,.022425406,nongold,0,1,713,.030024268,,,,,Con 1997,Conservatives,1997
40009491,Social,-1,1,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009501,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009501,Economic,-1,7,970,.022425406,nongold,-1,1,713,.030024268,,,,,Con 1997,Conservatives,1997
40009501,Social,-1,7,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009511,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009511,Economic,-.80000001,5,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009511,Social,-1,3,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009521,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009521,Economic,0,3,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009521,Social,-.25,4,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009531,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009531,Economic,-1,1,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009531,Social,-.77777779,9,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009541,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009541,Economic,-1,5,970,.022425406,nongold,-1,1,713,.030024268,,,,,Con 1997,Conservatives,1997
40009541,Social,-.875,8,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009551,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009551,Economic,-.69230771,13,970,.022425406,nongold,0,2,713,.030024268,,,,,Con 1997,Conservatives,1997
40009551,Social,-.60000002,5,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009561,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009561,Economic,-.77777779,9,970,.022425406,nongold,0,1,713,.030024268,,,,,Con 1997,Conservatives,1997
40009561,Social,-.25,4,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009571,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009571,Economic,-.5,8,970,.022425406,nongold,0,1,713,.030024268,,,,,Con 1997,Conservatives,1997
40009581,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009581,Economic,0,1,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009581,Social,0,1,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009591,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009601,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009601,Social,-1,1,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009611,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009611,Social,0,1,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009621,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009621,Economic,.40000001,10,970,.022425406,nongold,0,2,713,.030024268,,,,,Con 1997,Conservatives,1997
40009631,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009641,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009651,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009651,Social,-1,1,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009661,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009661,Social,-.5,2,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009671,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009671,Social,1,1,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009681,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009681,Economic,0,1,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009681,Social,1,2,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009691,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009691,Economic,0,1,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009691,Social,0,2,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009701,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009701,Social,1,2,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009711,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009711,Social,-1.5,4,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009721,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009721,Economic,.5,2,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009721,Social,-.33333334,3,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009731,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009731,Economic,-.33333334,3,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009731,Social,0,5,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009741,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009741,Economic,0,1,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009751,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009751,Economic,-.1,10,970,.022425406,nongold,0,1,713,.030024268,,,,,Con 1997,Conservatives,1997
40009751,Social,-1,1,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009761,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009761,Economic,-1.0833334,12,970,.022425406,nongold,-1.3333334,3,713,.030024268,,,,,Con 1997,Conservatives,1997
40009771,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009771,Economic,.14285715,14,970,.022425406,nongold,0,3,713,.030024268,,,,,Con 1997,Conservatives,1997
40009781,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009781,Economic,-.80000001,10,970,.022425406,nongold,-1,4,713,.030024268,,,,,Con 1997,Conservatives,1997
40009781,Social,-1,1,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009791,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009791,Economic,-.625,8,970,.022425406,nongold,-1.1666666,6,713,.030024268,,,,,Con 1997,Conservatives,1997
40009801,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009801,Economic,-.25,4,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009811,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009811,Economic,.5,2,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009811,Social,-1,1,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009821,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009821,Economic,1,1,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009821,Social,1.5,2,934,.027550578,nongold,1,1,326,.051363863,,,,,Con 1997,Conservatives,1997
40009831,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009831,Economic,2,1,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009831,Social,.625,8,934,.027550578,nongold,1.5,2,326,.051363863,,,,,Con 1997,Conservatives,1997
40009841,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009841,Social,.66666669,6,934,.027550578,nongold,1.6666666,3,326,.051363863,,,,,Con 1997,Conservatives,1997
40009851,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009851,Economic,.5,2,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009851,Social,-.33333334,3,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009861,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009861,Economic,0,3,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009861,Social,-.33333334,3,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009871,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009871,Economic,.5,4,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009871,Social,-1,1,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009881,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009881,Economic,.5,18,970,.022425406,nongold,0,1,713,.030024268,,,,,Con 1997,Conservatives,1997
40009891,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009891,Economic,1.0625,16,970,.022425406,nongold,1.3333334,6,713,.030024268,,,,,Con 1997,Conservatives,1997
40009901,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009901,Economic,.5,4,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009911,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009911,Economic,1,2,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009911,Social,1,1,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009921,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009921,Economic,1,1,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009921,Social,-1,1,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009931,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009941,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009941,Social,1,1,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009951,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009951,Economic,1,1,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009951,Social,-1,1,934,.027550578,nongold,1,1,326,.051363863,,,,,Con 1997,Conservatives,1997
40009961,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009971,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009971,Economic,-1,1,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009981,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009981,Social,-1.5,2,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009991,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40009991,Economic,-.75,4,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40009991,Social,-1,1,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40010001,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010001,Social,.55555558,9,934,.027550578,nongold,0,1,326,.051363863,,,,,Con 1997,Conservatives,1997
40010011,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010011,Economic,1,2,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40010011,Social,.5,2,934,.027550578,nongold,0,1,326,.051363863,,,,,Con 1997,Conservatives,1997
40010021,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010021,Economic,0,2,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40010021,Social,,,,,,0,1,326,.051363863,,,,,Con 1997,Conservatives,1997
40010031,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010031,Social,-1,2,934,.027550578,nongold,0,1,326,.051363863,,,,,Con 1997,Conservatives,1997
40010041,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010041,Social,-1,1,934,.027550578,nongold,0,1,326,.051363863,,,,,Con 1997,Conservatives,1997
40010051,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010051,Social,-1,1,934,.027550578,nongold,0,1,326,.051363863,,,,,Con 1997,Conservatives,1997
40010061,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010061,Economic,1,1,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40010061,Social,1.2,5,934,.027550578,nongold,0,1,326,.051363863,,,,,Con 1997,Conservatives,1997
40010071,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010071,Social,.25,4,934,.027550578,nongold,0,1,326,.051363863,,,,,Con 1997,Conservatives,1997
40010081,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010081,Economic,1,1,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40010081,Social,1,2,934,.027550578,nongold,.75,4,326,.051363863,,,,,Con 1997,Conservatives,1997
40010091,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010091,Economic,1,1,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40010091,Social,.5,4,934,.027550578,nongold,0,1,326,.051363863,,,,,Con 1997,Conservatives,1997
40010101,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010101,Economic,1.5,2,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40010101,Social,1.1428572,7,934,.027550578,nongold,1.5,4,326,.051363863,,,,,Con 1997,Conservatives,1997
40010111,None,,,,,,,0,0,,,,,,Con 1997,Conservatives,1997
40010111,Economic,1,19,970,.022425406,nongold,.33333334,3,713,.030024268,,,,,Con 1997,Conservatives,1997
40010111,Social,0,1,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40010121,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010121,Economic,.86666667,15,970,.022425406,nongold,.2,5,713,.030024268,,,,,Con 1997,Conservatives,1997
40010121,Social,.5,2,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40010131,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010131,Economic,.375,8,970,.022425406,nongold,.25,4,713,.030024268,,,,,Con 1997,Conservatives,1997
40010141,None,,,,,,,0,0,,,,,,Con 1997,Conservatives,1997
40010141,Economic,1.2,20,970,.022425406,nongold,1.3333334,6,713,.030024268,,,,,Con 1997,Conservatives,1997
40010151,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010151,Economic,1.1666666,18,970,.022425406,nongold,1.2857143,7,713,.030024268,,,,,Con 1997,Conservatives,1997
40010161,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010161,Economic,1.1428572,7,970,.022425406,nongold,1.1666666,6,713,.030024268,,,,,Con 1997,Conservatives,1997
40010161,Social,.66666669,9,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40010171,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010171,Economic,.5714286,7,970,.022425406,nongold,1,6,713,.030024268,,,,,Con 1997,Conservatives,1997
40010171,Social,1,2,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40010181,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010181,Economic,.77777779,18,970,.022425406,nongold,1.2,5,713,.030024268,,,,,Con 1997,Conservatives,1997
40010191,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010191,Economic,-.40000001,10,970,.022425406,nongold,0,1,713,.030024268,,,,,Con 1997,Conservatives,1997
40010201,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010201,Economic,1.5,4,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40010201,Social,1,1,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40010211,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010211,Economic,.5,2,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40010221,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010221,Economic,.66666669,3,970,.022425406,nongold,1,1,713,.030024268,,,,,Con 1997,Conservatives,1997
40010221,Social,.40000001,5,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40010231,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010231,Social,.5,2,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40010241,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010241,Economic,.66666669,3,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40010241,Social,,,,,,-2,1,326,.051363863,,,,,Con 1997,Conservatives,1997
40010251,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010251,Economic,1.6666666,3,970,.022425406,nongold,,,,,,,,,Con 1997,Conservatives,1997
40010251,Social,.5,2,934,.027550578,nongold,2,1,326,.051363863,,,,,Con 1997,Conservatives,1997
40010261,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010261,Economic,.5,12,970,.022425406,nongold,0,4,713,.030024268,,,,,Con 1997,Conservatives,1997
40010271,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010271,Economic,.25,4,970,.022425406,nongold,0,2,713,.030024268,,,,,Con 1997,Conservatives,1997
40010281,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010281,Economic,.5,14,970,.022425406,nongold,0,3,713,.030024268,,,,,Con 1997,Conservatives,1997
40010291,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010291,Economic,.5,4,970,.022425406,nongold,0,2,713,.030024268,,,,,Con 1997,Conservatives,1997
40010291,Social,-1,1,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40010301,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010301,Economic,.25,8,970,.022425406,nongold,0,2,713,.030024268,,,,,Con 1997,Conservatives,1997
40010311,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010311,Economic,,,,,,0,2,713,.030024268,,,,,Con 1997,Conservatives,1997
40010321,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010321,Economic,0,14,970,.022425406,nongold,0,4,713,.030024268,,,,,Con 1997,Conservatives,1997
40010331,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010331,Economic,.5,6,970,.022425406,nongold,0,2,713,.030024268,,,,,Con 1997,Conservatives,1997
40010341,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010341,Economic,0,9,970,.022425406,nongold,0,2,713,.030024268,,,,,Con 1997,Conservatives,1997
40010341,Social,0,1,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40010351,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010351,Economic,.21428572,14,970,.022425406,nongold,0,4,713,.030024268,,,,,Con 1997,Conservatives,1997
40010361,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010361,Economic,.06666667,15,970,.022425406,nongold,0,3,713,.030024268,,,,,Con 1997,Conservatives,1997
40010361,Social,2,1,934,.027550578,nongold,,,,,,,,,Con 1997,Conservatives,1997
40010371,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010371,Economic,0,7,970,.022425406,nongold,0,4,713,.030024268,,,,,Con 1997,Conservatives,1997
40010381,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
40010381,Economic,0,10,970,.022425406,nongold,0,3,713,.030024268,,,,,Con 1997,Conservatives,1997
40010391,None,,0,0,,nongold,,0,0,,,,,,Con 1997,Conservatives,1997
